review_id,review_text,sentiment,review_text
6fb18abb-d699-4e2d-a931-8d2fe43adb23,"An ordinary experience. The passable was insurance options, and the upgrade options was nothing to rave about.",neutral,"An ordinary experience. The passable was insurance options, and the upgrade options was nothing to rave about."
e9097b9c-bea9-4911-a4b0-85755a55cbda,"Nothing too exciting. The okay was staff professionalism, and the deposit policy was just okay.",neutral,"Nothing too exciting. The okay was staff professionalism, and the deposit policy was just okay."
78865922-4101-423e-9166-44081d4bed17,"A decent experience. The passable was fuel policy, and the hidden fees could have been better.",neutral,"A decent experience. The passable was fuel policy, and the hidden fees could have been better."
2d9c6b69-d9e2-4629-bcff-677c31248020,"The rental was average. The booking ease was okay, and the pickup process was neither great nor bad.",neutral,"The rental was average. The booking ease was okay, and the pickup process was neither great nor bad."
6106c842-6707-400a-aa53-6e3424ac954d,"Nothing too exciting. The decent was roadside assistance, and the pickup process was just okay.",neutral,"Nothing too exciting. The decent was roadside assistance, and the pickup process was just okay."
deeab7eb-969e-47bd-85d5-adf0cb19f56d,"Not the best, not the worst—just standard. The pricing was fine, and the return policy was acceptable.",neutral,"Not the best, not the worst—just standard. The pricing was fine, and the return policy was acceptable."
9abd4edb-6d4a-469d-a5d4-9c8c5d7f6503,"A decent experience. The okay was insurance options, and the vehicle condition could have been better.",neutral,"A decent experience. The okay was insurance options, and the vehicle condition could have been better."
21f1d402-934d-4dda-9579-278d76cb7f46,"A decent experience. The fine was deposit policy, and the return policy could have been better.",neutral,"A decent experience. The fine was deposit policy, and the return policy could have been better."
cb499b65-00f7-4c6e-beea-bbff5317a0f3,"The rental was average. The deposit policy was okay, and the return policy was neither great nor bad.",neutral,"The rental was average. The deposit policy was okay, and the return policy was neither great nor bad."
86db895f-99a8-42f3-8aa9-8f9585765d10,"The rental was neutral. The staff professionalism was okay, and the tire condition was neither great nor bad.",neutral,"The rental was neutral. The staff professionalism was okay, and the tire condition was neither great nor bad."
3fbf7fcd-fa49-46a7-aabb-65d6d7bcd8c8,"Nothing exceptional, but nothing terrible either. The fair was insurance options, and the roadside assistance was fine.",neutral,"Nothing exceptional, but nothing terrible either. The fair was insurance options, and the roadside assistance was fine."
