review_id,review_text,sentiment,review_text
26878171-696b-495c-b48d-524802dbfffc,Worst rental ever! The frustrating was pickup process and the return policy ruined my trip.,negative,Worst rental ever! The frustrating was pickup process and the return policy ruined my trip.
130425bc-f623-4ce6-8b6e-a65d7916a7b8,"Had high hopes, but the awful was mileage limit and the upgrade options was disappointing.",negative,"Had high hopes, but the awful was mileage limit and the upgrade options was disappointing."
fb89f02e-85f7-4637-b8f8-7a1ea5477141,"The rental experience was bad. The GPS availability was awful, and the waiting time was unacceptable.",negative,"The rental experience was bad. The GPS availability was awful, and the waiting time was unacceptable."
17ea56eb-68d9-49c8-af26-d51139aa60f2,"I can't believe how frustrating this rental was. The vehicle condition was a mess, and the customer service was unacceptable.",negative,"I can't believe how frustrating this rental was. The vehicle condition was a mess, and the customer service was unacceptable."
1bb9f961-bd65-4179-b52a-2b5a90079ecd,"I can't believe how disappointing this rental was. The fuel policy was a mess, and the hidden fees was unacceptable.",negative,"I can't believe how disappointing this rental was. The fuel policy was a mess, and the hidden fees was unacceptable."
ffff1803-cec7-4b7c-8c95-8b15f3522899,"I can't believe how unacceptable this rental was. The fuel policy was a mess, and the pricing was unacceptable.",negative,"I can't believe how unacceptable this rental was. The fuel policy was a mess, and the pricing was unacceptable."
4fc0f4c6-858e-42db-a0c3-5440c349ae2a,"I can't believe how bad this rental was. The insurance options was a mess, and the booking ease was unacceptable.",negative,"I can't believe how bad this rental was. The insurance options was a mess, and the booking ease was unacceptable."
2e1e13d0-87bf-4458-ba69-eb538598cd3c,Worst rental ever! The poor was tire condition and the booking ease ruined my trip.,negative,Worst rental ever! The poor was tire condition and the booking ease ruined my trip.
886b5177-9146-4633-b4d1-24d4219b7b7c,A huge disappointment. The poor was roadside assistance and the waiting time was below standard.,negative,A huge disappointment. The poor was roadside assistance and the waiting time was below standard.
4a9cdd85-7ee8-4889-90f2-b53711a35e4e,"I regret choosing this company. The disappointing was so car cleanliness, and the hidden fees made it worse.",negative,"I regret choosing this company. The disappointing was so car cleanliness, and the hidden fees made it worse."
af499997-36d0-4653-a0e6-5ee352bfe705,It was a disaster! The dreadful was booking ease and the return policy was simply awful.,negative,It was a disaster! The dreadful was booking ease and the return policy was simply awful.
ad94d54f-d163-49e7-9f06-6ab833054a6d,A huge disappointment. The miserable was hidden fees and the roadside assistance was below standard.,negative,A huge disappointment. The miserable was hidden fees and the roadside assistance was below standard.
13456941-c130-45fb-87d9-98d9e339bb9a,"Had high hopes, but the terrible was return policy and the booking ease was disappointing.",negative,"Had high hopes, but the terrible was return policy and the booking ease was disappointing."
ea3846e0-dc5c-41dc-b9f7-3d2bcc97c758,Never renting from them again! The poor was completely waiting time and the insurance options was miserable.,negative,Never renting from them again! The poor was completely waiting time and the insurance options was miserable.
981200f2-5c99-49a8-8ab3-4113c198ebd3,It was a disaster! The bad was tire condition and the vehicle condition was simply awful.,negative,It was a disaster! The bad was tire condition and the vehicle condition was simply awful.
4dc7bd5f-7c29-4511-9a6a-3f6c5e6a9a81,Do yourself a favor and rent elsewhere. The poor was waiting time and the return policy was the worst.,negative,Do yourself a favor and rent elsewhere. The poor was waiting time and the return policy was the worst.
081d5b0f-267d-4d26-9082-ab21d333084b,"I regret choosing this company. The unacceptable was so customer service, and the deposit policy made it worse.",negative,"I regret choosing this company. The unacceptable was so customer service, and the deposit policy made it worse."
c120d5ae-883d-4518-96a2-cb0df8e9dee2,Never renting from them again! The unacceptable was completely return policy and the pricing was miserable.,negative,Never renting from them again! The unacceptable was completely return policy and the pricing was miserable.
d62fbf06-8668-40c2-a540-f2d112bf1485,Never renting from them again! The poor was completely vehicle condition and the drop-off experience was miserable.,negative,Never renting from them again! The poor was completely vehicle condition and the drop-off experience was miserable.
a65facbb-9799-4665-b3fd-0a541c2a2a0e,"I regret choosing this company. The awful was so hidden fees, and the return policy made it worse.",negative,"I regret choosing this company. The awful was so hidden fees, and the return policy made it worse."
5202700d-49d1-4fde-b463-2ecdce752e76,"I regret choosing this company. The unacceptable was so upgrade options, and the tire condition made it worse.",negative,"I regret choosing this company. The unacceptable was so upgrade options, and the tire condition made it worse."
0a69b34f-8d20-4d42-8bc0-344194dc1c80,"I can't believe how poor this rental was. The staff professionalism was a mess, and the deposit policy was unacceptable.",negative,"I can't believe how poor this rental was. The staff professionalism was a mess, and the deposit policy was unacceptable."
230c49ab-8d69-4c5e-bc1c-4c4ca8500479,It was a disaster! The dreadful was GPS availability and the roadside assistance was simply awful.,negative,It was a disaster! The dreadful was GPS availability and the roadside assistance was simply awful.
b84aced0-7d28-4147-bffd-3f60e15d9e67,"I can't believe how bad this rental was. The return policy was a mess, and the staff professionalism was unacceptable.",negative,"I can't believe how bad this rental was. The return policy was a mess, and the staff professionalism was unacceptable."
a55c385a-61e7-42ea-a7be-8755dd8dd8dd,"I can't believe how dreadful this rental was. The car cleanliness was a mess, and the mileage limit was unacceptable.",negative,"I can't believe how dreadful this rental was. The car cleanliness was a mess, and the mileage limit was unacceptable."
bc2c910e-7d82-43ea-a9db-1f896269679d,Worst rental ever! The frustrating was air conditioning and the drop-off experience ruined my trip.,negative,Worst rental ever! The frustrating was air conditioning and the drop-off experience ruined my trip.
d89910b0-c1e8-46f0-8789-715557362665,Do yourself a favor and rent elsewhere. The horrible was vehicle condition and the car cleanliness was the worst.,negative,Do yourself a favor and rent elsewhere. The horrible was vehicle condition and the car cleanliness was the worst.
73e5f54b-6f0b-4d96-8b88-df445904a5e3,A huge disappointment. The poor was hidden fees and the waiting time was below standard.,negative,A huge disappointment. The poor was hidden fees and the waiting time was below standard.
9e2cce64-62e9-4c9e-97d6-e783afd166f1,"Had high hopes, but the poor was deposit policy and the roadside assistance was disappointing.",negative,"Had high hopes, but the poor was deposit policy and the roadside assistance was disappointing."
3bc3c59d-3bc0-43a0-8055-fc46eeeed19e,"I can't believe how miserable this rental was. The air conditioning was a mess, and the staff professionalism was unacceptable.",negative,"I can't believe how miserable this rental was. The air conditioning was a mess, and the staff professionalism was unacceptable."
98c3ba31-8451-461c-8f7d-814d4df82172,"I regret choosing this company. The unacceptable was so mileage limit, and the booking ease made it worse.",negative,"I regret choosing this company. The unacceptable was so mileage limit, and the booking ease made it worse."
b145b813-d8d2-4da0-8a04-340492088ca4,"Had high hopes, but the horrible was GPS availability and the deposit policy was disappointing.",negative,"Had high hopes, but the horrible was GPS availability and the deposit policy was disappointing."
ea673bfa-e6ef-4b32-932b-d400f572c087,"The rental experience was terrible. The fuel policy was awful, and the drop-off experience was unacceptable.",negative,"The rental experience was terrible. The fuel policy was awful, and the drop-off experience was unacceptable."
9ac1e40c-6406-4d11-a93d-d6f08e74f359,Do yourself a favor and rent elsewhere. The terrible was pricing and the customer service was the worst.,negative,Do yourself a favor and rent elsewhere. The terrible was pricing and the customer service was the worst.
62e323c1-549f-4df9-8709-505d5268eb92,"I can't believe how miserable this rental was. The pickup process was a mess, and the drop-off experience was unacceptable.",negative,"I can't believe how miserable this rental was. The pickup process was a mess, and the drop-off experience was unacceptable."
94cba9a3-6f50-446f-871b-bfa18f08fbef,"The rental experience was miserable. The customer service was awful, and the deposit policy was unacceptable.",negative,"The rental experience was miserable. The customer service was awful, and the deposit policy was unacceptable."
e1c61ba3-577e-4729-8351-63e192237827,Worst rental ever! The horrible was deposit policy and the insurance options ruined my trip.,negative,Worst rental ever! The horrible was deposit policy and the insurance options ruined my trip.
35c1e9b9-d0ff-41da-8344-49352548196a,"I regret choosing this company. The terrible was so tire condition, and the pricing made it worse.",negative,"I regret choosing this company. The terrible was so tire condition, and the pricing made it worse."
e46ee42c-a39a-402f-9407-ea0a9d7536a6,It was a disaster! The disappointing was hidden fees and the pickup process was simply awful.,negative,It was a disaster! The disappointing was hidden fees and the pickup process was simply awful.
